* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_mage, 5, 1, 1
2, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_knight, 5, 1, 1
3, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one, 8, 1, 1
4, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:slime, 80, 4, 4
5, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:drowned, 5, 1, 1
6, ocean, alexscaves:abyssal_chasm, MONSTER, alexsmobs:farseer, 30, 1, 1
7, ocean, alexscaves:abyssal_chasm, MONSTER, quark:toretoise, 40, 1, 3
8, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling, 5, 1, 1
9, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_angler, 5, 1, 1
10, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_brute, 5, 1, 1
11, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_priest, 5, 1, 1
12, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_warlock, 5, 1, 1
13, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:coral_golem, 5, 1, 1
14, ocean, alexscaves:abyssal_chasm, MONSTER, mowziesmobs:grottol, 5, 1, 1
15, ocean, alexscaves:abyssal_chasm, MONSTER, more_critters:shriekbat, 5, 1, 1
16, ocean, alexscaves:abyssal_chasm, MONSTER, enlightened_end:void_leviathan, 10, 1, 1
17, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 80, 4, 6
18, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, alexscaves:hullbreaker, 20, 1, 1
19, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, minecraft:squid, 10, 1, 4
20, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, minecraft:dolphin, 10, 2, 3
21, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:cachalot_whale, 5, 1, 2
22, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
23, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:giant_squid, 5, 1, 2
24, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexscaves:lanternfish, 80, 15, 20
25, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
26, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexsmobs:comb_jelly, 5, 2, 3
27, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:tripodfish, 40, 1, 2
28, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:sea_pig, 50, 3, 4
29, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:gossamer_worm, 20, 1, 1
30, ocean, alexscaves:abyssal_chasm, rascals, friendsandfoes:rascal, 5, 1, 1
31, ocean, alexscaves:abyssal_chasm, HULLBACK, whaleborne:hullback, 5, 1, 1
32, none, deep_aether:aerglow_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
33, none, deep_aether:aerglow_forest, MONSTER, quark:toretoise, 40, 1, 3
34, none, deep_aether:aerglow_forest, MONSTER, mowziesmobs:grottol, 5, 1, 1
35, none, deep_aether:aerglow_forest, MONSTER, mowziesmobs:naga, 5, 1, 1
36, none, deep_aether:aerglow_forest, MONSTER, more_critters:shriekbat, 5, 1, 1
37, none, deep_aether:aerglow_forest, MONSTER, enlightened_end:void_leviathan, 10, 1, 1
38, none, deep_aether:aerglow_forest, CREATURE, aether:phyg, 10, 3, 4
39, none, deep_aether:aerglow_forest, CREATURE, aether:sheepuff, 12, 3, 4
40, none, deep_aether:aerglow_forest, CREATURE, aether:flying_cow, 12, 2, 5
41, none, deep_aether:aerglow_forest, CREATURE, aether:aerbunny, 11, 3, 3
42, none, deep_aether:aerglow_forest, CREATURE, aether:moa, 8, 1, 3
43, none, deep_aether:aerglow_forest, CREATURE, deep_aether:quail, 15, 2, 5
44, none, deep_aether:aerglow_forest, WATER_CREATURE, deep_aether:aerglow_fish, 5, 1, 3
45, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:aechor_plant, 7, 1, 1
46, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:blue_swet, 6, 1, 1
47, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:golden_swet, 6, 1, 1
48, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:whirlwind, 5, 1, 1
49, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:evil_whirlwind, 5, 1, 1
50, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether_redux:vanilla_swet, 5, 1, 2
51, none, deep_aether:aerglow_forest, AETHER_DARKNESS_MONSTER, aether:cockatrice, 8, 1, 1
52, none, deep_aether:aerglow_forest, AETHER_SKY_MONSTER, aether:zephyr, 20, 1, 1
53, none, deep_aether:aerglow_forest, AETHER_AERWHALE, aether:aerwhale, 10, 1, 1
54, none, deep_aether:aerlavender_fields, MONSTER, alexsmobs:farseer, 30, 1, 1
55, none, deep_aether:aerlavender_fields, MONSTER, quark:toretoise, 40, 1, 3
56, none, deep_aether:aerlavender_fields, MONSTER, mowziesmobs:grottol, 5, 1, 1
57, none, deep_aether:aerlavender_fields, MONSTER, mowziesmobs:naga, 5, 1, 1
58, none, deep_aether:aerlavender_fields, MONSTER, more_critters:shriekbat, 5, 1, 1
59, none, deep_aether:aerlavender_fields, MONSTER, enlightened_end:void_leviathan, 10, 1, 1
60, none, deep_aether:aerlavender_fields, CREATURE, aether:phyg, 10, 3, 4
61, none, deep_aether:aerlavender_fields, CREATURE, aether:sheepuff, 12, 3, 4
62, none, deep_aether:aerlavender_fields, CREATURE, aether:flying_cow, 12, 2, 5
63, none, deep_aether:aerlavender_fields, CREATURE, aether:aerbunny, 11, 3, 3
64, none, deep_aether:aerlavender_fields, CREATURE, aether:moa, 8, 1, 3
65, none, deep_aether:aerlavender_fields, CREATURE, deep_aether:quail, 15, 2, 5
